repeticao,ari_reamostragem,silhueta_reamostragem,davies_bouldin_reamostragem,ari_perturbaca
188,0.9692874101549054,0.9400213916602018,0.5179673797911987,1.0
189,0.9596198141517939,0.9430674447033484,0.6614895113283404,1.0
190,0.9673511874186096,0.9430504490469912,0.6415740116693226,1.0
191,0.8553442192474723,0.9267891384773618,0.5620814674444102,1.0
192,0.9561241885663442,0.9493848395634785,0.5009378413350805,1.0
193,0.9673511874186096,0.9392093806033167,0.6007246456273614,1.0
194,0.9625787964221187,0.9422088564930855,0.6357579314980231,1.0
195,1.0,0.949021527724421,0.61859271523112,1.0
196,1.0,0.9423050074219177,0.5922421382748333,1.0
197,0.8083910006503144,0.9236755914889543,0.6040476846256694,1.0
198,1.0,0.9424276350747435,0.5041672991702819,1.0
199,1.0,0.9446473779107196,0.4940085716835048,1.0
